card_id,backing,reposition_id
CARD-DX-BASE-DFT-L-001,black,POS01
CARD-DX-BASE-DFT-L-001,black,POS02
CARD-DX-BASE-DFT-L-001,black,POS03
CARD-DX-BASE-DFT-L-001,white,POS01
CARD-DX-BASE-DFT-L-001,white,POS02
CARD-DX-BASE-DFT-L-001,white,POS03
CARD-DX-W064-DFT-L-001,black,POS01
CARD-DX-W064-DFT-L-001,black,POS02
CARD-DX-W064-DFT-L-001,black,POS03
CARD-DX-W064-DFT-L-001,white,POS01
CARD-DX-W064-DFT-L-001,white,POS02
CARD-DX-W064-DFT-L-001,white,POS03
CARD-DX-BASE-DFT-H-001,black,POS01
CARD-DX-BASE-DFT-H-001,black,POS02
CARD-DX-BASE-DFT-H-001,black,POS03
CARD-DX-BASE-DFT-H-001,white,POS01
CARD-DX-BASE-DFT-H-001,white,POS02
CARD-DX-BASE-DFT-H-001,white,POS03
CARD-DX-W064-DFT-H-001,black,POS01
CARD-DX-W064-DFT-H-001,black,POS02
CARD-DX-W064-DFT-H-001,black,POS03
CARD-DX-W064-DFT-H-001,white,POS01
CARD-DX-W064-DFT-H-001,white,POS02
CARD-DX-W064-DFT-H-001,white,POS03
